Ligand SMILES,Target Name,Kd (nM)
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NC1COC1,Nuclear receptor ROR-gamma,38.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC1(O)CC1,Nuclear receptor ROR-gamma,19.0
OC(c1ccc(-c2sc(nc2C(=O)N2C3CCC2CC3)C(=O)N2CCNC(=O)C2)c(Cl)c1Cl)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,24.0
OC(c1ccc(-c2sc(nc2C(=O)N2C3CCC2CC3)C(=O)N2CC(=O)NC(=O)C2)c(Cl)c1Cl)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,68.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)N1CC(O)(C1)C(C)(C)O,Nuclear receptor ROR-gamma,2.9
OC(c1ccc(-c2sc(nc2C(=O)N2CCC(F)CC2)C(=O)N2CC3(C2)CS(=O)(=O)C3)c(Cl)c1Cl)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,3.8
OC(c1ccc(-c2sc(nc2C(=O)N2CCC(F)CC2)C(=O)NC2CS(=O)(=O)C2)c(Cl)c1Cl)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,2.1
CC(C)(O)CCNC(=O)c1nc(C(=O)N2CCC(F)CC2)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,11.0
CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)CC2)c(s1)-c1cc(cc(c1)C(O)(C(F)(F)F)C(F)(F)F)C(C)(C)C,Nuclear receptor ROR-gamma,2.7
C[C@H]1CC(F)(F)CN1C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)N1C[C@@H](O)C[C@@H](O)C1,Nuclear receptor ROR-gamma,0.15
C[C@H]1CC(F)(F)CN1C(=O)c1nc(sc1-c1ccc(cc1OC(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F)C(=O)N1C[C@@H](O)C[C@@H](O)C1,Nuclear receptor ROR-gamma,0.07
C[C@H]1CC(F)(F)CN1C(=O)c1nc(sc1-c1ccc(cc1C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F)C(=O)N1C[C@@H](O)C[C@@H](O)C1,Nuclear receptor ROR-gamma,0.11
CC(C)Oc1cc(ccc1-c1sc(nc1C(=O)N1CC(F)(F)C[C@@H]1C)C(=O)N1C[C@@H](O)C[C@@H](O)C1)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,0.11
CCN(CC)C(=O)c1nc(sc1-c1ccc(cc1CC)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,8.0
CCN(CC)C(=O)c1nc(sc1-c1ccc(cc1OC(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,3.1
CCN(CC)C(=O)c1nc(sc1-c1ccc(c(F)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)O,Nuclear receptor ROR-gamma,33.0
O[C@H]1C[C@@H](O)CN(C1)C(=O)c1nc(C(=O)N2C3CCC2CC3)c(s1)-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F,Nuclear receptor ROR-gamma,2.1
